	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
516	NN	41	nmod	517	pathlogy	O	20	43	pathlogy	0
517	IN	46	case	518	at	O	20	44	at	0
518	DT	46	det	519	the	B-ORG	20	45	the	0
519	NNP	41	nmod	520	University	I-ORG	20	46	University	0
520	IN	49	case	521	of	I-ORG	20	47	of	0
521	NNP	49	compound	522	Vermont	I-ORG	20	48	Vermont	0
522	NNP	46	nmod	523	College	I-ORG	20	49	College	0
523	IN	51	case	524	of	I-ORG	20	50	of	0
524	NNP	49	nmod	525	Medicine	E-ORG	20	51	Medicine	0
525	.	4	punct	526	.	O	20	52	.	0
526	RBR	2	advmod	527	more	O	21	1	More	0
527	JJ	4	amod	528	common	O	21	2	common	0
528	JJ	4	amod	529	chrysotile	O	21	3	chrysotile	0
529	NNS	6	nsubj	530	fiber	O	21	4	fibers	0
530	VBP	6	cop	531	be	O	21	5	are	0
531	JJ	18	ccomp	532	curly	O	21	6	curly	0
532	CC	11	cc	533	and	O	21	7	and	0
533	VBP	11	aux:pass	534	be	O	21	8	are	0
534	RBR	10	advmod	535	more	O	21	9	more	0
535	RB	11	advmod	536	easily	O	21	10	easily	0
536	VBN	6	conj	537	reject	O	21	11	rejected	0
537	IN	14	case	538	by	O	21	12	by	0
538	DT	14	det	539	the	O	21	13	the	0
539	NN	11	obl	540	body	O	21	14	body	0
540	,	18	punct	541	,	O	21	15	,	0
541	NNP	18	nsubj	542	Dr.	O	21	16	Dr.	0
542	NNP	16	flat	543	Mossman	S-PERSON	21	17	Mossman	0
543	VBD	0	root	544	explain	O	21	18	explained	1
544	.	18	punct	545	.	O	21	19	.	0
545	IN	2	case	546	in	O	22	1	In	0
546	NNP	8	obl	547	July	S-DATE	22	2	July	0
547	,	8	punct	548	,	O	22	3	,	0
548	DT	7	det	549	the	B-ORG	22	4	the	0
549	NNP	6	compound	550	Environmental	I-ORG	22	5	Environmental	0
550	NNP	7	compound	551	Protection	I-ORG	22	6	Protection	0
551	NNP	8	nsubj	552	Agency	E-ORG	22	7	Agency	0
552	VBD	0	root	553	impose	O	22	8	imposed	0
553	DT	11	det	554	a	O	22	9	a	0
554	JJ	11	amod	555	gradual	O	22	10	gradual	0
555	NN	8	obj	556	ban	O	22	11	ban	0
556	IN	15	case	557	on	O	22	12	on	0
557	RB	15	advmod	558	virtually	O	22	13	virtually	0
558	DT	15	det	559	all	O	22	14	all	0
559	NNS	8	obl	560	use	O	22	15	uses	0
560	IN	17	case	561	of	O	22	16	of	0
561	NN	15	nmod	562	asbesto	O	22	17	asbestos	0
562	.	8	punct	563	.	O	22	18	.	0
563	IN	2	case	564	by	O	23	1	By	0
564	CD	13	obl	565	1997	S-DATE	23	2	1997	0
565	,	13	punct	566	,	O	23	3	,	0
566	RB	7	advmod	567	almost	O	23	4	almost	0
567	DT	7	det	568	all	O	23	5	all	0
568	VBG	7	amod	569	remain	O	23	6	remaining	0
569	NNS	13	nsubj:pass	570	use	O	23	7	uses	0
570	IN	10	case	571	of	O	23	8	of	0
571	VBG	10	amod	572	cancer-cause	O	23	9	cancer-causing	0
572	NN	7	nmod	573	asbesto	O	23	10	asbestos	0
573	MD	13	aux	574	will	O	23	11	will	0
574	VB	13	aux:pass	575	be	O	23	12	be	0
575	VBN	0	root	576	outlaw	O	23	13	outlawed	0
576	.	13	punct	577	.	O	23	14	.	0
577	RB	2	advmod	578	about	B-CARDINAL	24	1	About	0
578	CD	3	nummod	579	160	E-CARDINAL	24	2	160	0
579	NNS	15	nsubj:pass	580	worker	O	24	3	workers	0
580	IN	6	case	581	at	O	24	4	at	0
581	DT	6	det	582	a	O	24	5	a	0
582	NN	3	nmod	583	factory	O	24	6	factory	0
583	WDT	8	nsubj	584	that	O	24	7	that	0
584	VBD	6	acl:relcl	585	make	O	24	8	made	0
585	NN	8	obj	586	paper	O	24	9	paper	0
586	IN	13	case	587	for	O	24	10	for	0
587	DT	13	det	588	the	O	24	11	the	0
588	NNP	13	compound	589	Kent	S-GPE	24	12	Kent	0
589	NNS	9	nmod	590	filter	O	24	13	filters	0
590	VBD	15	aux:pass	591	be	O	24	14	were	0
591	VBN	0	root	592	expose	O	24	15	exposed	0
592	IN	17	case	593	to	O	24	16	to	0
593	NN	15	obl	594	asbesto	O	24	17	asbestos	0
594	IN	20	case	595	in	O	24	18	in	0
595	DT	20	det	596	the	B-DATE	24	19	the	0
596	NNS	15	obl	597	1950	E-DATE	24	20	1950s	0
597	.	15	punct	598	.	O	24	21	.	0
598	NNS	7	nsubj	599	area	O	25	1	Areas	0
599	IN	4	case	600	of	O	25	2	of	0
600	DT	4	det	601	the	O	25	3	the	0
601	NN	1	nmod	602	factory	O	25	4	factory	0
602	VBD	7	cop	603	be	O	25	5	were	0
603	RB	7	advmod	604	particularly	O	25	6	particularly	0
604	JJ	0	root	605	dusty	O	25	7	dusty	0
605	WRB	12	mark	606	where	O	25	8	where	0
606	DT	10	det	607	the	O	25	9	the	0
607	NN	12	nsubj:pass	608	crocidolite	O	25	10	crocidolite	0
608	VBD	12	aux:pass	609	be	O	25	11	was	0
609	VBN	7	advcl	610	use	O	25	12	used	0
610	.	7	punct	611	.	O	25	13	.	0
611	NNS	2	nsubj	612	worker	O	26	1	Workers	0
612	VBD	0	root	613	dump	O	26	2	dumped	0
613	JJ	5	amod	614	large	O	26	3	large	0
614	NN	5	compound	615	burlap	O	26	4	burlap	0
615	NNS	2	obj	616	sack	O	26	5	sacks	0
616	IN	9	case	617	of	O	26	6	of	0
617	DT	9	det	618	the	O	26	7	the	0
618	VBN	9	amod	619	import	O	26	8	imported	0
619	NN	5	nmod	620	material	O	26	9	material	0
620	IN	13	case	621	into	O	26	10	into	0
621	DT	13	det	622	a	O	26	11	a	0
622	JJ	13	amod	623	huge	O	26	12	huge	0
623	NN	2	obl	624	bin	O	26	13	bin	0
624	,	13	punct	625	,	O	26	14	,	0
625	VBN	13	acl	626	pour	O	26	15	poured	0
626	IN	20	case	627	in	O	26	16	in	0
627	NN	15	obl	628	cotton	O	26	17	cotton	0
628	CC	19	cc	629	and	O	26	18	and	0
629	NN	17	conj	630	acetate	O	26	19	acetate	0
630	NNS	15	obl	631	fiber	O	26	20	fibers	0
631	CC	23	cc	632	and	O	26	21	and	0
632	RB	23	advmod	633	mechanically	O	26	22	mechanically	0
633	VBN	2	conj	634	mix	O	26	23	mixed	0
634	DT	26	det	635	the	O	26	24	the	0
635	JJ	26	amod	636	dry	O	26	25	dry	0
636	NNS	23	obj	637	fiber	O	26	26	fibers	0
637	IN	29	case	638	in	O	26	27	in	0
638	DT	29	det	639	a	O	26	28	a	0
639	NN	26	nmod	640	process	O	26	29	process	0
640	VBN	29	acl	641	use	O	26	30	used	0
641	TO	32	mark	642	to	O	26	31	to	0
642	VB	30	xcomp	643	make	O	26	32	make	0
643	NNS	32	obj	644	filter	O	26	33	filters	0
644	.	2	punct	645	.	O	26	34	.	0
645	NNS	2	nsubj	646	worker	O	27	1	Workers	0
646	VBD	0	root	647	describe	O	27	2	described	1
647	``	4	punct	648	``	O	27	3	``	0
648	NNS	2	obj	649	cloud	O	27	4	clouds	0
649	IN	7	case	650	of	O	27	5	of	0
650	JJ	7	amod	651	blue	O	27	6	blue	0
651	NN	4	nmod	652	dust	O	27	7	dust	0
652	''	7	punct	653	''	O	27	8	''	0
653	WDT	10	nsubj	654	that	O	27	9	that	0
654	VBD	4	acl:relcl	655	hang	O	27	10	hung	0
655	RP	10	compound:prt	656	over	O	27	11	over	0
656	NNS	10	obj	657	part	O	27	12	parts	0
657	IN	15	case	658	of	O	27	13	of	0
658	DT	15	det	659	the	O	27	14	the	0
659	NN	12	nmod	660	factory	O	27	15	factory	0
660	,	10	punct	661	,	O	27	16	,	0
661	RB	21	advmod	662	even	O	27	17	even	0
662	IN	21	mark	663	though	O	27	18	though	0
663	NN	20	compound	664	exhaust	O	27	19	exhaust	0
664	NNS	21	nsubj	665	fan	O	27	20	fans	0
665	VBD	10	advcl	666	ventilate	O	27	21	ventilated	0
666	DT	23	det	667	the	O	27	22	the	0
667	NN	21	obj	668	area	O	27	23	area	0
668	.	2	punct	669	.	O	27	24	.	0
669	``	18	punct	670	``	O	28	1	``	0
670	EX	3	expl	671	there	O	28	2	There	0
671	VBZ	18	ccomp	672	be	O	28	3	's	0
672	DT	5	det	673	no	O	28	4	no	0
673	NN	3	nsubj	674	question	O	28	5	question	0
674	IN	13	mark	675	that	O	28	6	that	0
675	DT	13	nsubj	676	some	O	28	7	some	0
676	IN	10	case	677	of	O	28	8	of	0
677	DT	10	det	678	those	O	28	9	those	0
678	NNS	7	nmod	679	worker	O	28	10	workers	0
679	CC	12	cc	680	and	O	28	11	and	0
680	NNS	10	conj	681	manager	O	28	12	managers	0
681	VBD	5	acl	682	contract	O	28	13	contracted	0
682	JJ	15	amod	683	asbestos-related	O	28	14	asbestos-related	0
683	NNS	13	obj	684	disease	O	28	15	diseases	0
684	,	18	punct	685	,	O	28	16	,	0
685	''	18	punct	686	''	O	28	17	''	0
686	VBD	0	root	687	say	O	28	18	said	1
687	NNP	18	nsubj	688	Darrell	B-PERSON	28	19	Darrell	0
688	NNP	19	flat	689	Phillips	E-PERSON	28	20	Phillips	0
689	,	19	punct	690	,	O	28	21	,	0
690	NN	23	compound	691	vice	O	28	22	vice	0
691	NN	19	appos	692	president	O	28	23	president	0
692	IN	26	case	693	of	O	28	24	of	0
693	JJ	26	amod	694	human	O	28	25	human	0
694	NNS	23	nmod	695	resource	O	28	26	resources	0
695	IN	28	case	696	for	O	28	27	for	0
696	NNP	26	nmod	697	Hollingsworth	B-ORG	28	28	Hollingsworth	0
697	NNP	28	flat	698	&amp;	I-ORG	28	29	&amp;	0
698	NNP	28	flat	699	Vose	E-ORG	28	30	Vose	0
699	.	18	punct	700	.	O	28	31	.	0
700	,	4	punct	701	``	O	29	1	``	0
701	CC	4	cc	702	but	O	29	2	But	0
702	PRP	4	nsubj	703	you	O	29	3	you	0
703	VBP	0	root	704	have	O	29	4	have	0
704	TO	6	mark	705	to	O	29	5	to	0
705	VB	4	xcomp	706	recognize	O	29	6	recognize	0
706	IN	10	mark	707	that	O	29	7	that	0
707	DT	9	det	708	these	O	29	8	these	0
708	NNS	10	nsubj	709	event	O	29	9	events	0
709	VBD	6	ccomp	710	take	O	29	10	took	0
710	NN	10	obj	711	place	O	29	11	place	0
711	CD	13	nummod	712	35	B-DATE	29	12	35	0
712	NNS	14	obl:npmod	713	year	I-DATE	29	13	years	0
713	RB	10	advmod	714	ago	E-DATE	29	14	ago	0
714	.	4	punct	715	.	O	29	15	.	0
715	PRP	2	nsubj	716	it	O	30	1	It	0
716	VBZ	0	root	717	have	O	30	2	has	0
717	DT	4	det	718	no	O	30	3	no	0
718	NN	2	obj	719	bear	O	30	4	bearing	0
719	IN	8	case	720	on	O	30	5	on	0
720	PRP$	8	nmod:poss	721	we	O	30	6	our	0
721	NN	8	compound	722	work	O	30	7	work	0
722	NN	4	nmod	723	force	O	30	8	force	0
723	NN	2	obl:tmod	724	today	S-DATE	30	9	today	0
724	.	2	punct	725	.	O	30	10	.	0
